SIGLA SISTEMA,SIGLA TICKETS,REGIONAL,Mail Regional,SUPERVISOR (GTE ZONA),Mail Supervisor,LOCAL,MAIL,DIRECCION,LOCALIDAD,PROVINCIA,TIPO DE LOCAL,RAZON SOCIAL
FVDP,FVDP,Martin Medina,mmedina@mostazaweb.com.ar,Iris Ayala,iayala@mostazaweb.com.ar,VILLA DEL PARQUE,villadelparque@mostazaweb.com.ar,Cuenca 3070,VILLA DEL PARQUE,CABA,A la calle,TRESOL S.R.L
FSJU,FCSJ3,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,SAN JUSTO,sanjusto3@mostazaweb.com.ar,Arieta 3150,SAN JUSTO,BUENOS AIRES,A la calle,Puesto Rico S.A.
FLF2,FLF2,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,LAFERRERE 2,laferrere2@mostazaweb.com.ar,Av. Luro 5917,LAFERRERE,BUENOS AIRES,A la calle,MAZZEO MARCELO Y BARREIRO WALTER S. CAP I SECC IV
-,FMRAM,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,RAMOS,ramosejia@mostazaweb.com.ar,BELGRANO 86,RAMOS MEJIA,BUENOS AIRES,-,-
FEZE,FEZEA,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,EZEIZA,ezeiza@mostazaweb.com.ar,Conquista del Desierto 322,Ezeiza,BUENOS AIRES,A la calle,ABOSBIAN SRL
FMCAN,FMCAN,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,CANNING,canning@mostazaweb.com.ar,interseccion ruta 58 y Ruta 16,CANNING,BUENOS AIRES,Auto Mostaza,FGC FUELS MARKETING SA
FMGD,FMGRA,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,MONTEGRANDE,montegrande@mostazaweb.com.ar,Leandro Alem 401,Monte Grande,BUENOS AIRES,A la calle,DECHUNES S.R.L.
FZAR,FMZAR,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,ZARATE,zarate@mostazaweb.com.ar,Felix Pagola 22,ZARATE,BUENOS AIRES,A la calle,Lyson SRL
-,-,Martin Medina,mmedina@mostazaweb.com.ar,Micaela Pardo,mpardo@mostazaweb.com.ar,MERCADO PARAGUAY X 15,-,-,-,-,-,-
FCAB,FCABI,Martin Medina,mmedina@mostazaweb.com.ar,Iris Ayala,iayala@mostazaweb.com.ar,CABILDO,cabildo@mostazaweb.com.ar,CABILDO 2150,CABA,CABA,A la calle,BAYRES MEAT S.R.L
